const,const_place
b,peripheral
c,palatal
ç,palatal
d,other
ɖ,other
g,peripheral
h,peripheral
ħ,peripheral
j,palatal
k,peripheral
l,other
ḻ,other
ɭ,other
ʎ,palatal
m,peripheral
n,other
ṉ,other
ɲ,palatal
ɳ,other
ŋ,peripheral
p,peripheral
ɸ,peripheral
r,other
ɹ,other
ɺ,other
ɻ,other
ɾ,other
t,other
ṯ,other
ʧ,other
ʈ,other
w,peripheral
x,peripheral
ʔ,peripheral
β,peripheral
θ,other
