base_vowel,vowel_group
a,low
æ,low
ɐ,low
ɑ,low
ɒ,low
e,front
ə,central
ɛ,central
ɘ,central
ɚ,central
ɜ,central
ɝ,central
i,front
ĭ,front
ḭ,front
ɪ,front
ɨ,front
o,back
ɔ,back
u,back
ʉ,back
ʊ,back
ʌ,back
y,front
ε,front
