source_file,rep_num,vowel_num,base_vowel,const_ctx,base_transcription,annotator,vowel.text,vowel.xmin,vowel.xmax,rep.text,rep.xmin,rep.xmax,forest.f1,forest.f2,praat.f1,praat.f2,forest.f1_z,forest.f2_z,praat.f1_z,praat.f2_z
b001_file01,1,1,ɐ,p_ɭ,pɐɭpɐɭpə,kr,ˈɐ,0.47413927865893524,0.5816309702808492,pɐɭpɐɭpə̥,0.4547363596736579,1.2160738253279213,742,1383,783.738,1405.343,1.7284439964404752,-0.4681701840797469,1.7736799547026798,-0.6079595247902017
b001_file01,1,2,ɐ,p_ɭ,pɐɭpɐɭpə,kr,ɐ,0.760003744448229,0.8909819771012728,pɐɭpɐɭpə̥,0.4547363596736579,1.2160738253279213,639,1280,718.79,1439.576,0.8959723189840977,-0.7557522248888413,1.2388941645145102,-0.5074328391943174
b001_file01,2,1,ɐ,p_ɭ,pɐɭpɐɭpə,kr,ˈɐ,2.0727251295701565,2.1805971523520897,pɐɭpɐɭpə̥,2.057863038824282,2.7690817654626754,690,1384,729.945,1393.744,1.30816703306444,-0.46537812543111495,1.3307451143443596,-0.6420204901226785
b001_file01,2,2,ɐ,p_ɭ,pɐɭpɐɭpə,kr,ɐ,2.3677502175890495,2.4827391999077197,pɐɭpɐɭpə̥,2.057863038824282,2.7690817654626754,588,1349,676.169,1432.12,0.4837776049037555,-0.5631001781332344,0.8879502530220863,-0.5293277057792771
b001_file01,1,1,ɐ,p_l,pɐlpɐlp,ns,ˈɐ,0.47413927865893524,0.5816309702808492,pɐlpɐlpʰ,0.4547363596736579,1.2160738253279213,742,1383,783.738,1405.343,1.7284439964404752,-0.4681701840797469,1.7736799547026798,-0.6079595247902017
b001_file01,1,2,ɐ,p_l,pɐlpɐlp,ns,ɐ,0.760003744448229,0.8909819771012728,pɐlpɐlpʰ,0.4547363596736579,1.2160738253279213,639,1280,718.79,1439.576,0.8959723189840977,-0.7557522248888413,1.2388941645145102,-0.5074328391943174
b001_file01,2,1,ɐ,p_l,pɐlpɐlp,ns,ˈɐ,2.0727251295701565,2.1805971523520897,pɐlpɐlpʰ,2.057863038824282,2.7690817654626754,690,1384,729.945,1393.744,1.30816703306444,-0.46537812543111495,1.3307451143443596,-0.6420204901226785
b001_file01,2,2,ɐ,p_l,pɐlpɐlp,ns,ɐ,2.3677502175890495,2.4827391999077197,pɐlpɐlpʰ,2.057863038824282,2.7690817654626754,588,1349,676.169,1432.12,0.4837776049037555,-0.5631001781332344,0.8879502530220863,-0.5293277057792771
b001_file02,1,1,ɔ,m_t,mɔtɲəmə,kr,ˈɔ,0.5358998523680921,0.6973350862986823,mɔtɲəmə̥,0.256284906866556,1.2165488322620088,868,1129,794.12,1252.601,2.7468074076977915,-1.1773530808322707,1.8591659754228491,-1.0564930161957626
b001_file02,1,2,ə,ɲ_m,mɔtɲəmə,kr,ə,0.8228958238002526,0.9634042681472478,mɔtɲəmə̥,0.256284906866556,1.2165488322620088,340,2088,429.004,2108.049,-1.520620220428105,1.5002311632058016,-1.147221420191235,1.455567046890385
b001_file02,2,2,ə,ɲ_m,mɔɲəmə,kr,ə,2.379583152245796,2.4828474193962045,mɔɲəmə̥,1.911088882147194,2.7212545931692302,309,1843,419.894,1893.269,-1.7711699485945873,0.8161767942909656,-1.2222337153906904,0.8248562844014402
b001_file02,1,1,o,m_ɲ,moɲɪm,ns,ˈo,0.5406581998606361,0.6989948953467262,moɲɪm,0.2639921550448757,1.2229250010598018,815,1328,771.357,1359.373,2.318448195026063,-0.6217334097545061,1.6717340461555381,-0.7429524186891532
b001_file02,1,2,ɪ,ɲ_m,moɲɪm,ns,ɪ,0.8243065344003586,0.9687377080194041,moɲɪm,0.2639921550448757,1.2229250010598018,345,2076,438.298,2082.76,-1.48020897394964,1.4667264594222178,-1.0706940577780917,1.381304804258004
b001_file02,2,2,ɪ,ɲ_m,moɲɪm,ns,ɪ,2.3816195062121372,2.48121238748275,moɲɪm,1.907615026254669,2.710947861532355,299,1869,419.894,1893.269,-1.8519924415515172,0.8887703191553972,-1.2222337153906904,0.8248562844014402
b001_file03,1,1,u,k_ɺ,ŋkuɺəŋk,kr,ˈu,0.6028687926717581,0.7819092052126667,ŋkuɺəŋk,0.3606576219224971,1.205908886652542,516,1006,591.852,1315.913,-0.09814434438613946,-1.5207762946140049,0.19367893641039916,-0.8705745889925779
b001_file03,1,2,ə,ɺ_ŋ,ŋkuɺəŋk,kr,ə,0.8281165629053501,0.91418448442243,ŋkuɺəŋk,0.3606576219224971,1.205908886652542,529,1326,624.141,1343.867,0.0069248964578693395,-0.62731752705177,0.45954853022985137,-0.7884864585585712
